Tipo,Año Fab.,Marca,Modelo,Versión,Tasación,Valor Permiso,Antigüedad_Veh
Hatchback,2015,FÍAT,PALIO,ATRAER EVO AA / LL / SP,3621796,41849,8
Comercial,2015,FÍAT,FIORINO,1.4 CIUDAD,4490442,59222,8
Sedán,2015,FÍAT,LINEA,ACTIVO,3940814,48229,8
Hatchback,2015,FÍAT,CINQUECENTO,500 1.2 AT,4700828,63430,8
Comercial,2015,FÍAT,FIORINO,1.2 CIUDAD MJTD,4481872,59051,8
Sedán,2015,FÍAT,LINEA,1.4 ELX,4243375,54281,8
Comercial,2015,FÍAT,FIORINO,FUEGO,3837602,46165,8
Hatchback,2015,FÍAT,UNO WAY,1.4 ESTILO EVO AA 5P,4250486,54423,8
VAN,2015,FÍAT,DUCATO,MAXI CARGO L3H2 DIESEL,9476719,192541,8
Comercial,2016,FÍAT,DOBLO,MAXI CARGO,5854923,86512,7
Comercial,2016,FÍAT,FIORINO,1.2 CIUDAD MJTD,4907251,67558,7
Sedán,2016,FÍAT,LINEA,1.4 ELX,4616382,61741,7
Hatchback,2016,FÍAT,CINQUECENTO,1.6 500X MT,7947896,146676,7
Hatchback,2016,FÍAT,PALIO,ATTRACTI EVO EVO ELX,4175386,52921,7
Hatchback,2016,FÍAT,GRANDE PUNTO,1.2 FÁCIL 5P,4625765,61928,7
Hatchback,2016,FÍAT,CINQUECENTO,C 1.2 MT CABRIO,5479608,79005,7
Hatchback,2016,FÍAT,CINQUECENTO,SALÓN 1.4 MT T.PA,5207504,73563,7
Comercial,2016,FÍAT,FIORINO,FUEGO,4363044,56674,7
Camioneta,2016,FÍAT,COMPLETO,GLS TD DC MT,10703769,229353,7
Camioneta,2016,FÍAT,STRADA,1.4 D / C MT EN FUNCIONAMIENTO,4804040,65494,7
Hatchback,2016,FÍAT,CINQUECENTO,500 1.2 AT,5113675,71687,7
Hatchback,2016,FÍAT,UNO,FORMA 1.4 EVO 5P AA,4159486,52603,7
Comercial,2016,FÍAT,QUBO,DINÁMICO 1.4,4916634,67746,7
Comercial,2016,FÍAT,DOBLO,CARGA,5432693,78067,7
Camioneta,2016,FÍAT,STRADA,1.6 ADV,6098878,91391,7
Camioneta,2017,FÍAT,STRADA,1.4 TREKKING D / C MT,5770477,84823,6
SUV,2017,FÍAT,500X,CRUZ TCT 1.4L T140CV,9582953,195728,6
Hatchback,2017,FÍAT,CINQUECENTO,LOUNGE 1.4 EN P.PA,6042581,90265,6
Hatchback,2017,FÍAT,UNO DEPORTIVO,"1,4 toneladas",5057378,70561,6
Camioneta,2017,FÍAT,COMPLETO,GLS TD DC MT,11756761,260942,6
SUV,2017,FÍAT,500X,CRUZADO AWD AT9 1.4LT,10766881,231246,6
Hatchback,2017,FÍAT,UNO WAY,1.4 ESTILO EVO AA 5P,5047995,70373,6
Camioneta,2017,FÍAT,STRADA,1.6 ADV,6671235,108377,6
VAN,2017,FÍAT,DUCATO,VETRATO L3H2 17 COMO,14318295,353526,6
Camioneta,2017,FÍAT,STRADA,1.4 D / C MT EN FUNCIONAMIENTO,5076143,70936,6
Hatchback,2017,FÍAT,CINQUECENTO,C 1.2 EN CABRIO,6342834,98525,6
VAN,2017,FÍAT,DUCATO,MAXI CARGO L3H2 DIESEL,11888122,264883,6
VAN,2017,FÍAT,DUCATO,2.3 MAXI CARGO L3 H2 AA,12573073,285432,6
Hatchback,2017,FÍAT,CINQUECENTO,C 1.2 MT CABRIO,6042581,90265,6
Hatchback,2017,FÍAT,CINQUECENTO,SALÓN 1.4 MT T.PA,5761094,84635,6
VAN,2017,FÍAT,DUCATO,MAXI CARGO L2H2 DIESEL,11221936,244898,6
Comercial,2017,FÍAT,FIORINO,1.2 CIUDAD MJTD,5423310,77879,6
Comercial,2017,FÍAT,DOBLO,MAXI E5,7729692,140130,6
Comercial,2017,FÍAT,FIORINO,FUEGO,5047995,70373,6
Hatchback,2017,FÍAT,UNO WAY,1.4 EVO 5P,4438107,58175,6
Comercial,2017,FÍAT,DOBLO,MAXI E5,7729692,140130,6
Comercial,2017,FÍAT,FIORINO,1.2 CIUDAD MJTD,5423310,77879,6
Comercial,2017,FÍAT,FIORINO,FUEGO ELX,5351981,76453,6
Comercial,2017,FÍAT,DOBLO,CARGO AA,7371757,129392,6
Comercial,2017,FÍAT,DOBLO,1.6 MAXI XL,7834713,143281,6
Comercial,2017,FÍAT,FIORINO,FUEGO,5047995,70373,6
Comercial,2017,FÍAT,FIORINO,FUEGO ELX AA,5624693,81907,6
Camioneta,2017,FÍAT,STRADA,1.6 ADV,6671235,108377,6
Camioneta,2017,FÍAT,STRADA,1.4 D / C MT EN FUNCIONAMIENTO,5076143,70936,6
Camioneta,2017,FÍAT,COMPLETO,GLX 2.4L TD DC 2WD MT,10614467,226674,6
Camioneta,2018,FÍAT,STRADA,1.6 ADV,7571992,135399,5
Camioneta,2018,FÍAT,STRADA,1.4 TREKKING D / C MT,6530491,104154,5
Camioneta,2018,FÍAT,COMPLETO,GLS TD DC 4WD EN LIM,15434854,398189,5
Camioneta,2018,FÍAT,STRADA,1.4 D / C MT EN FUNCIONAMIENTO,5723563,83884,5
Camioneta,2018,FÍAT,RAM 700,EXPRESS CS 1.4L,5775498,84923,5
Camioneta,2018,FÍAT,RAM 700,ADVENTURE CD 1.6L,7618198,136786,5
Camioneta,2018,FÍAT,COMPLETO,GLX 2.4L TD DC 2WD MT,11616018,256720,5
Camioneta,2018,FÍAT,COMPLETO,GLS TD DC MT,13361235,315244,5
Comercial,2018,FÍAT,FIORINO,FUEGO ELX,5892455,87262,5
Comercial,2018,FÍAT,QUBO,DINÁMICO 1.4,6183324,93739,5
Comercial,2018,FÍAT,DOBLO,1.6 MAXI XL,8904363,175370,5
Comercial,2018,FÍAT,FIORINO,1.4 CIUDAD,6211473,94584,5
Hatchback,2018,FÍAT,CINQUECENTO,C 1.2 MT CABRIO,7009019,118510,5
Hatchback,2018,FÍAT,CINQUECENTO,C 1.2 EN CABRIO,7384334,129770,5
Hatchback,2018,FÍAT,UNO,FORMA 1.4 EVO 5P AA,4907251,67558,5
Hatchback,2018,FÍAT,500L,TREKKING EN DIESEL ELX,10271649,216389,5
Hatchback,2018,FÍAT,GRANDE PUNTO,1.2 FÁCIL 5P,5704797,83509,5
Hatchback,2018,FÍAT,CINQUECENTO,SALÓN 1.4 MT T.PA,6680618,108658,5
Hatchback,2018,FÍAT,500L,TREKKING EN DIESEL,9946109,206623,5
Hatchback,2018,FÍAT,ARGO,CONDUCTOR ELX 1.3 GSE 5P BZ MT,6665006,108190,5
Hatchback,2018,FÍAT,CINQUECENTO,1.6 500X MT,9504868,193386,5
Hatchback,2018,FÍAT,CINQUECENTO,LOUNGE 1.4 EN P.PA,7018402,118792,5
Hatchback,2018,FÍAT,500C,"POP 1,2 MT",7273253,126437,5
Hatchback,2018,FÍAT,CINQUECENTO,"500 1,2 MT",5976901,88951,5
Hatchback,2018,FÍAT,UNO,ESTILO DE MANERA 1.4 EVO AA F,5507756,79568,5
Hatchback,2018,FÍAT,UNO DEPORTIVO,"1,4 toneladas",5695414,83321,5
Hatchback,2018,FÍAT,UNO,WAY EVO AA FL,5029229,69998,5
Hatchback,2018,FÍAT,UNO WAY,1.4 EVO 5P,4728977,63993,5
Hatchback,2018,FÍAT,500X,POP ESTRELLA 4X2 MT,8943788,176553,5
Hatchback,2018,FÍAT,500L,TREKKING MT,8943788,176553,5
Sedán,2018,FÍAT,CRONOS,DRIVE 1.3,6688896,108906,5
Sedán,2018,FÍAT,ARGO,UNIDAD 1.3 GSE ELX,6586645,105839,5
Sedán,2018,FÍAT,CRONOS,PRECISIÓN 1.8 MT,7166066,123222,5
SUV,2018,FÍAT,500X,CRUZ TCT 1.4L T140CV,10480688,222660,5
VAN,2018,FÍAT,DUCATO,L1 H1,12150842,272765,5
VAN,2018,FÍAT,DUCATO,MAXI CARGO L3H2 DIESEL,13511362,321249,5
Hatchback,2019,FÍAT,500,DEPORTE FUEGO 3P,8553244,164837,4
Hatchback,2019,FÍAT,ARGO,DRIVE 1.3 GSE 5P BZ MT,6849510,113725,4
Comercial,2019,FÍAT,DOBLO,MAXI E5,9429804,191134,4
VAN,2019,FÍAT,DUCATO,MULTIJET L4H3,16692161,448481,4
Hatchback,2019,FÍAT,CINQUECENTO,C 1.2 EN CABRIO,8482132,162704,4
Sedán,2019,FÍAT,ARGO,UNIDAD 1.3 GSE ELX,7252974,125829,4
Hatchback,2019,FÍAT,CINQUECENTO,500 1.2 AT,7365569,129207,4
VAN,2019,FÍAT,DUCATO,MAXI CARGO L3H2 DIESEL,14984475,380174,4
Camioneta,2019,FÍAT,STRADA,1.4 TREKKING D / C MT,7187294,123858,4
VAN,2019,FÍAT,DUCATO,2.3 MAXI CARGO L3 H2 AA,15753872,410949,4
Hatchback,2019,FÍAT,500,DEPORTE FUEGO 4P,7246357,125630,4
Hatchback,2019,FÍAT,CINQUECENTO,SALÓN 1.4 MT T.PA,7740884,140466,4
Hatchback,2019,FÍAT,CINQUECENTO,LOUNGE 1.4 EN P.PA,8256943,155948,4
Camioneta,2019,FÍAT,COMPLETO,GLS TD DC 4WD EN LIM,16926733,457864,4
Hatchback,2019,FÍAT,CINQUECENTO,C 1.2 MT CABRIO,7966074,147222,4
Hatchback,2019,FÍAT,ARGO,CONDUCTOR ELX 1.3 GSE 5P BZ MT,7299888,127236,4
Comercial,2019,FÍAT,FIORINO,"CIUDAD DSL (PL) 2,5MTS3",7725203,139996,4
Hatchback,2019,FÍAT,UNO WAY,1.4 EVO 5P,5047995,70373,4
Comercial,2019,FÍAT,FIORINO,1.4 CIUDAD,7140379,122451,4
SUV,2019,FÍAT,500X,CROSS AWD AT9 1.4T DYNAMI,13614573,325378,4
Hatchback,2019,FÍAT,500X,TURBO CROSS TCT 1.4L,10668346,228290,4
VAN,2020,FÍAT,DUCATO,MULTIJET L4H3,18709680,529182,3
VAN,2020,FÍAT,DUCATO,2.3 MAXI CARGO L3 H2 AA,18368177,515522,3
Cabriolé,2020,FÍAT,500,"POP 1,2 MT",7374963,129488,3
VAN,2020,FÍAT,DUCATO,MINIBUS 16 + 1 L3 H2 DOBLE AA,14305469,353013,3
VAN,2020,FÍAT,DUCATO,MINIBUS 16 + 1 EJECUTIVO L3H2 DOBLE,20331996,594074,3
Hatchback,2020,FÍAT,MOBI,WAY CROSS PLUS,6772310,111409,3
Hatchback,2020,FÍAT,ARGO,DRIVE 1.3 GSE 5P BZ MT,7300000,127240,3
Sedán,2020,FÍAT,TIPO,FÁCIL 1.6L EN,9159196,183015,3
Hatchback,2020,FÍAT,500,1.2 CABRIO EN,7751621,140788,3
VAN,2020,FÍAT,DUCATO,L1 H1,15515849,401429,3
Hatchback,2020,FÍAT,CINQUECENTO,C 1.2 MT CABRIO,9069923,180337,3
Sedán,2020,FÍAT,CRONOS,DRIVE 1.8,8990407,177952,3
Camioneta,2020,FÍAT,RAM 700,ADVENTURE CD 1.6L,8955495,176904,3
Hatchback,2020,FÍAT,UNO WAY,"1,4 EVO PLUS",5812554,85664,3
Sedán,2020,FÍAT,CRONOS,DRIVE 1.3 ELX BZ MT,6324055,97961,3
SUV,2020,FÍAT,500X,POP MT 1.4 L TURBO 140CV,10440000,221440,3
Sedán,2020,FÍAT,TIPO,POP 1.6L EN,8460725,162061,3
VAN,2020,FÍAT,DUCATO,VETRATO L3H2 17 COMO,21838676,661579,3
SUV,2020,FÍAT,500X,URBANO,9785574,201807,3
Hatchback,2020,FÍAT,MOBI,VÍA CRUZ,6395652,100109,3
Hatchback,2020,FÍAT,CINQUECENTO,SALÓN 1.4 MT T.PA,9446581,191637,3
Sedán,2020,FÍAT,ARGO,UNIDAD 1.3 GSE ELX,7730000,140140,3
Comercial,2020,FÍAT,DUCATO,MAXI CARGO L4H3 AA,15435443,398212,3
Hatchback,2020,FÍAT,500,POP 1.2 EN,7299631,127229,3
Hatchback,2020,FÍAT,UNO,ATRACTIVO E5,3759046,44594,3
SUV,2020,FÍAT,500X,CRUZ TCT 1.4L T140CV,12120000,271840,3
Sedán,2020,FÍAT,CRONOS,CONDUCE 1.8 AT,9258252,185987,3
VAN,2020,FÍAT,DUCATO,MAXI CARGO L3H2 DIESEL,17855922,495031,3
Hatchback,2012,HYUNDAI,I30,2.0 GLS AC 2AB ABS,5582820,81070,11
Hatchback,2012,HYUNDAI,ACENTO,RB HB 1.4GLS AC 2AB ABS,3668710,42787,11
Sedán,2012,HYUNDAI,ELANTRA,MD 1.6 GLS AC 2AB ABS,4456873,58551,11
Sedán,2012,HYUNDAI,GÉNESIS,COUPE 2.0T MT,6736915,110347,11
Camioneta,2012,HYUNDAI,PORTERO,HR STD TCI CHAS PS ELWB,4926017,67934,11
VAN,2012,HYUNDAI,H1,MB GLS CRDI 10S AC 2AB,7412483,130614,11
Hatchback,2012,HYUNDAI,ACENTO,RB 1.6 GLS 2AB ABS,4639018,62194,11
Sedán,2012,HYUNDAI,ELANTRA,MD 1.8 GLS ESP + CLIM,5283745,75088,11
Camioneta,2012,HYUNDAI,PORTERO,HR STD CRDI A2 ELWB,5548967,80393,11
VAN,2012,HYUNDAI,TERRACAN,2.5 GL DSL PLUS,6902023,115300,11
VAN,2012,HYUNDAI,VERACRUZ,3.8 GLS AT6 4WD COMPLETO,10370332,219350,11
Sedán,2012,HYUNDAI,ACENTO,MC 1.4 GL PS AC,3434138,38096,11
Sedán,2012,HYUNDAI,ACENTO,MC 1.6 GL PS AV AC,3434138,38096,11
Sedán,2012,HYUNDAI,SONATA,FL 2.4 GLS EN,6098878,91391,11
SUV,2012,HYUNDAI,TUCSON,CRDI GL 4WD 2AB AC,6492960,103028,11
Sedán,2012,HYUNDAI,ELANTRA,MD 1.6 GLS AC 2AB,4119089,51795,11
Sedán,2012,HYUNDAI,ACENTO,RB 1.6 GL AC DIESEL,3884516,47104,11
Hatchback,2012,HYUNDAI,ACENTO,RB HB 1.6GLS AC 2AB ABS,3856368,46541,11
SUV,2012,HYUNDAI,SANTA FE,FL CM 2.4 GLS COMPLETO,7259361,126020,11
VAN,2012,HYUNDAI,H1,MB GLS 2.5 CRDI A2 9S,8069658,150329,11
SUV,2012,HYUNDAI,TUCSON,CRDI GL 4WD 2AB AC,6324068,97962,11
Sedán,2012,HYUNDAI,SONATA,YF 2.4 GLS A LAS 10AB SOL,7159145,123014,11
SUV,2012,HYUNDAI,SANTA FE,2.4 GLS 4WD,6492960,103028,11
Sedán,2012,HYUNDAI,ACENTO,RB 1.4 GL AC,3490435,39222,11
Hatchback,2012,HYUNDAI,ACENTO,RB HB 1.6 GLS COMPLETO,4081557,51044,11
VAN,2012,HYUNDAI,H1,FURGON GL 2.5 CRDI 3S,5892455,87262,11
VAN,2012,HYUNDAI,VERACRUZ,3.8 GLS AT6 4WD,8463367,162141,11
SUV,2012,HYUNDAI,SANTA FE,CM FL 2.2CRDI GLS 4WD,7746216,140626,11
SUV,2012,HYUNDAI,SANTA FE,2.2 GLS 4WD CRDI,6990253,117947,11
SUV,2012,HYUNDAI,SANTA FE,2.4 GLS 4WD COMPLETO,7252974,125829,11
Camioneta,2012,HYUNDAI,PORTERO,HR HD TDI PS LWB,4869720,66808,11
Hatchback,2012,HYUNDAI,I 10,1.1 FL GLS (BASE),2392637,25489,11
Hatchback,2012,HYUNDAI,VELOSTER,1.6 GLS LLENO EN,5582820,81070,11
Sedán,2012,HYUNDAI,ELANTRA,MD 1.8 GLS AC 2AB ABS,4419341,57800,11
Camioneta,2012,HYUNDAI,PORTERO,HR STD CRDI DC PS LWB,5442076,78255,11
Hatchback,2012,HYUNDAI,ACENTO,RB HB 1.4 GL AV 1AB,3426944,37952,11
VAN,2012,HYUNDAI,H1,GL 2.5 CRDI MB ESCOLAR,6789584,111927,11
VAN,2012,HYUNDAI,H1,MB GLS CRDI A2 10S AC,7965868,147216,11
Sedán,2012,HYUNDAI,ELANTRA,HD 1.6 GLS MT AC,3922048,47854,11
Hatchback,2012,HYUNDAI,I30,1.6 GLS AC 2AB ABS,4719594,63805,11
Sedán,2012,HYUNDAI,SONATA,YF 2.0 GLS EN,5836158,86136,11
VAN,2012,HYUNDAI,VERACRUZ,3.0 GLS CRDI FULL IP,10668346,228290,11
Sedán,2012,HYUNDAI,GÉNESIS,COUPE 3.8 MT A19,8031754,149192,11
Hatchback,2012,HYUNDAI,I 10,1.2 FL GLS AC,2955610,29556,11
Sedán,2012,HYUNDAI,ACENTO,RB 1.6 GL AC DIESEL (T),3922048,47854,11
Hatchback,2012,HYUNDAI,VELOSTER,1.6 GLS COMPLETO MT,5385779,77129,11
SUV,2012,HYUNDAI,TUCSON,LM 2.0 GLS 4WD COMPLETO,6868275,114288,11
VAN,2012,HYUNDAI,SANTA FE,FL CM 2.2 GLS 2WD 7P,6333451,98243,11
VAN,2012,HYUNDAI,SANTA FE,FL CM 2.2 GLS 4WD 7P,6690001,108940,11
Hatchback,2012,HYUNDAI,I30,GD 1.6 GLS MT,4804697,65507,11
Hatchback,2012,HYUNDAI,ACENTO,RB 1.6 GLS 2AB EN ABS,4822137,65856,11
Hatchback,2012,HYUNDAI,ACENTO,RB HB 1.6 GL AC AB ABS,4639018,62194,11
SUV,2012,HYUNDAI,TUCSON,LM GL 2WD 5MT BASE,4668595,62785,11
SUV,2012,HYUNDAI,SANTA FE,FLCM 2.4 GLS 2WD CLIM,6372589,99417,11
VAN,2012,HYUNDAI,VERACRUZ,3.0 GLS CRDI AT6 4WD,9600558,196256,11
Sedán,2012,HYUNDAI,AZERA,3.3 GLS EN,6483577,102747,11
Sedán,2012,HYUNDAI,GÉNESIS,GLS 3.8,8829299,173119,11
SUV,2012,HYUNDAI,SANTA FE,2.4 GLS 2WD,6145793,92613,11
Hatchback,2012,HYUNDAI,I 10,1.1 FL GLS AC LL,2852399,28524,11
Sedán,2012,HYUNDAI,ACENTO,RB 1.6 GL (C),3349692,36407,11
Sedán,2012,HYUNDAI,ACENTO,RB 1.6 GL AC 2AB AT,3865751,46728,11
SUV,2012,HYUNDAI,SANTA FE,CM FL 2.2CRDI GLS 4WD,6690001,108940,11
VAN,2012,HYUNDAI,H1,MB GL 2.5 CRDI 10S AC,7112231,121607,11
Hatchback,2013,HYUNDAI,I 10,1.1 FL GLS,2692889,26929,10
Sedán,2013,HYUNDAI,ELANTRA,MD 1.6 GLS AC 2AB,4682062,63054,10
Sedán,2013,HYUNDAI,ACENTO,RB 1.6 GL AC 2AB,4241066,54235,10
Sedán,2013,HYUNDAI,ELANTRA,MD 1.8 GLS AC 2AB ABS,4935400,68121,10
Hatchback,2013,HYUNDAI,I40,SW 2.0 GLS COMPLETO ARO 17,7917628,145768,10
SUV,2013,HYUNDAI,SANTA FE,DM 3.3 GLS 4WD COMPLETO,10054916,209887,10
Hatchback,2013,HYUNDAI,VELOSTER,1.6 GLS PREMIUM,6427280,101058,10
Sedán,2013,HYUNDAI,ELANTRA,MD 1.8 GLS AL COMPLETO,5939369,88201,10
Sedán,2013,HYUNDAI,ELANTRA,MD 1.8 GLS ESP + CLIM,5714180,83697,10
Hatchback,2013,HYUNDAI,I40,SW 2.0 GL,7356186,128925,10
SUV,2013,HYUNDAI,TUCSON,LM GL 2WD 5MT BASE,5038612,70185,10
VAN,2013,HYUNDAI,SANTA FE,FL CM 2.2 GLS 2WD 7 piezas,7318654,127799,10
Hatchback,2013,HYUNDAI,ACENTO,RB 1.6 GL AC 2AB GLP,4931154,68036,10
Sedán,2013,HYUNDAI,ELANTRA,MD 1.8 GLS MT COMPLETO,5423122,77876,10
SUV,2013,HYUNDAI,SANTA FE,DM2.2 CRDI GLS 4WD EN,9543943,194558,10
VAN,2013,HYUNDAI,H1,2.5 A2 EN HOMOLOGACION,10093636,211049,10
Sedán,2013,HYUNDAI,SONATA,YF 2.0 GL MT,6324068,97962,10
Hatchback,2013,HYUNDAI,I 10,1.1 FL GLS AC,3030673,30307,10
Hatchback,2013,HYUNDAI,I 10,1.2 EN FL GLS AC,3452903,38471,10
Sedán,2013,HYUNDAI,ACENTO,RB 1.6 GL AC (T),3997111,49355,10
Hatchback,2013,HYUNDAI,ACENTO,RB 1.6 GLS 2AB ABS,4578850,60990,10
Hatchback,2013,HYUNDAI,VELOSTER,1.6 GLS COMPLETO MT,5986284,89139,10
SUV,2013,HYUNDAI,TUCSON,LM 2.0 GLS 4WD COMPLETO,7468780,132303,10
Hatchback,2013,HYUNDAI,I30,GD 1.6 GLS MT,5169972,72813,10
SUV,2013,HYUNDAI,SANTA FE,CM FL 2.2CRDI GLS 4WD,8360155,159044,10
